0,0,0,0,0.000,
255,255,255,0,20000.000,
255,255,255,0,19000.000,
255,255,255,51,18000.000,
242,220,202,102,17000.000,
242,220,202,153,16000.000,
217,205,145,204,15000.000,
217,205,145,255,14000.000,
166,191,96,255,13000.000,
166,191,96,255,12000.000,
91,166,55,255,11000.000,
91,166,55,255,10000.000,
23,140,35,255,9000.000,
23,140,35,255,8000.000,
0,115,60,255,7000.000,
0,102,72,255,6000.000,
0,89,84,255,5000.000,
0,65,74,255,4000.000,
0,41,64,255,3000.000,
0,41,64,255,2000.000,
0,8,38,255,1000.000,
0,8,38,255,0.000,
